Cuts,Events,Absolute [%],Relative [%],Absolute_w_eff[%],Relative [%]
No cuts,1444598,100,100,40.09075,40.09075
is_reco_electron,1367707,94.67734276,94.67734276,37.95685679,37.95685679
has_downstream,1367648,94.67325858,99.99568621,37.95521941,40.08902057
upstream veto,1367648,94.67325858,100,37.95521941,40.09075
has_trk_front_seg,1367642,94.67284324,99.99956129,37.9550529,40.09057412
good_trkpid,1153928,79.87883134,84.3735422,32.02402258,33.82598587
good_trkqual,1066591,73.83306636,92.4313302,29.60023005,37.05641351
within_t0err,1066590,73.83299714,99.99990624,29.6002023,40.09071241
has_hits,1031368,71.39481018,96.69770015,28.62271486,38.76683322
has_st,991325,68.62289717,96.11748668,27.51143415,38.53422129
no_opa,991171,68.61223676,99.98446524,27.50716031,40.084522
no_crv_quality,991171,68.61223676,100,27.50716031,40.09075
no_crv_timewindow,991171,68.61223676,100,27.50716031,40.09075
no_crv_veto,991171,68.61223676,100,27.50716031,40.09075
pz_over_pt,876778,60.69356319,88.45880277,24.33250469,35.46379747
good_trigger,846693,58.61097689,96.56868671,23.49758022,38.71511077

