Cuts,Events,Absolute [%],Relative [%],Absolute_w_eff[%],Relative [%]
No cuts,4120241,100,100,0.00016613875,0.00016613875
is_reco_electron,2650299,64.323883,64.323883,0.0001068668952,0.0001068668952
has_downstream,1591579,38.62829868,60.05280914,0.00006417657258,0.00009977098644
upstream vetp,1591579,38.62829868,100,0.00006417657258,0.00016613875
has_trk_front_seg,1573036,38.17825219,98.83493059,0.00006342887097,0.0001642031183
good_trkpid,371406,9.014181452,23.6107756,0.00001497604839,0.00003922664744
good_trkqual,294313,7.143101581,79.24293092,0.00001186745968,0.0001316532149
within_t0err,293958,7.13448558,99.87938012,0.00001185314516,0.0001659383536
has_hits,290576,7.052403003,98.84949551,0.00001171677419,0.0001642273162
has_st,28913,0.7017307968,9.950236771,0.000001165846774,0.00001653119899
no_opa,23805,0.5777574661,82.33320652,0.0000009598790323,0.0001367873601
no_crv_quality,16495,0.4003406597,69.29216551,0.0000006651209677,0.0001151211376
no_crv_timewindow,16334,0.3964331213,99.02394665,0.0000006586290323,0.0001645171472
no_crv_veto,16276,0.3950254366,99.64491245,0.0000006562903226,0.000165548812
pz_over_pt,6792,0.1648447263,41.73015483,0.0000002738709677,0.00006932995761
good_trigger,3177,0.07710714009,46.77561837,0.0000001281048387,0.00007771242767

