Cuts,Events,Absolute [%],Relative [%],Absolute_w_eff[%],Relative [%]
No cuts,879445,100,100,35.122132,35.122132
is_reco_electron,830210,94.40158282,94.40158282,33.15584853,33.15584853
has_downstream,830148,94.39453292,99.99253201,33.15337245,35.11950908
upstrea veto,830148,94.39453292,100,33.15337245,35.122132
has_trk_front_seg,830142,94.39385067,99.99927724,33.15313283,35.12187815
good_trkpid,700383,79.63920427,84.36905975,27.97098645,29.63221253
good_trkqual,581700,66.14398854,83.05455729,23.23117896,29.17053124
within_t0err,581700,66.14398854,100,23.23117896,35.122132
has_hits,552446,62.81757245,94.97094722,22.06287071,33.35582145
has_st,527898,60.02626657,95.55648878,21.08250458,33.56147612
no_opa,527865,60.0225142,99.99374879,21.08118667,35.11993644
no_crv_quality,527865,60.0225142,100,21.08118667,35.122132
no_crv_timewindow,527865,60.0225142,100,21.08118667,35.122132
no_crv_veto,527865,60.0225142,100,21.08118667,35.122132
pz_over_pt,485969,55.25860059,92.0631222,19.40799864,32.3345313
good_trigger,388125,44.13294748,79.86620546,15.50043207,28.0507141

