Cuts,Events,Absolute [%],Relative [%],Absolute_w_eff[%],Relative [%]
No cuts,344658,100,100,0.00689316,0.00689316
is_reco_electron,315067,91.4143876,91.4143876,0.00630134,0.00630134
has_downstream,182887,53.06332654,58.04701857,0.00365774,0.004001273865
upstream veto,182887,53.06332654,100,0.00365774,0.00689316
has_trk_front_seg,182879,53.0610054,99.99562571,0.00365758,0.006892858473
good_trkpid,115400,33.48246668,63.10183236,0.002308,0.004349710267
good_trkqual,84570,24.53736748,73.28422877,0.0016914,0.005051599144
within_t0err,84570,24.53736748,100,0.0016914,0.00689316
has_hits,80226,23.27698762,94.86342675,0.00160452,0.006539087787
has_st,77269,22.41903568,96.31416249,0.00154538,0.006639089323
no_opa,76898,22.31139274,99.51985919,0.00153796,0.006860063126
no_crv_quality,76898,22.31139274,100,0.00153796,0.00689316
no_crv_timewindow,76898,22.31139274,100,0.00153796,0.00689316
no_crv_veto,76898,22.31139274,100,0.00153796,0.00689316
pz_over_pt,74865,21.72153265,97.35623813,0.0014973,0.006710921265
good_trigger,57261,16.6138607,76.48567421,0.00114522,0.005272279901
