Cuts,Events,Absolute [%],Relative [%],Absolute_w_eff[%],Relative [%]
No cuts,1667550,100,100,1.3845904,1.3845904
is_reco_electron,1540740,92.39543042,92.39543042,1.27929826,1.27929826
has_downstream,788950,47.31192468,51.20591404,0.6550763672,0.70899217
upstream veto,788950,47.31192468,100,0.6550763672,1.3845904
has_trk_front_seg,788926,47.31048544,99.99695798,0.6550564396,1.384548281
good_trkpid,517063,31.00734611,65.54011403,0.4293247375,0.907462127
good_trkqual,369970,22.18644119,71.55220931,0.3071913348,0.990705021
within_t0err,369970,22.18644119,100,0.3071913348,1.3845904
has_hits,344844,20.67967977,93.20863854,0.2863288608,1.290557861
has_st,334345,20.05007346,96.95543492,0.2776113923,1.342435644
no_opa,333003,19.96959611,99.59861819,0.2764971107,1.379032906
no_crv_quality,333003,19.96959611,100,0.2764971107,1.3845904
no_crv_timewindow,333003,19.96959611,100,0.2764971107,1.3845904
no_crv_veto,333003,19.96959611,100,0.2764971107,1.3845904
pz_over_pt,315413,18.91475518,94.71776531,0.2618918844,1.311453086
good_trigger,242070,14.51650625,76.74699521,0.200994152,1.062631528

